hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
five-cycle,cpu,1048576,7,0.0625,65536,41405575.75,25509113.82,0.000763,0.0000,0.0000
five-cycle,cpu,1048576,7,0.1250,131072,41666706.40,25686294.91,0.023048,0.0000,0.0000
five-cycle,cpu,1048576,7,0.2500,262144,40144563.55,23965019.32,0.264339,0.0000,0.0000
five-cycle,cpu,8388608,3,0.0625,524288,36890496.89,27041492.44,0.005072,0.0000,0.0000
five-cycle,cpu,8388608,3,0.1250,1048576,39041894.59,23359127.43,0.030516,0.0000,0.0000
five-cycle,cpu,8388608,3,0.2500,2097152,36629541.81,25039669.24,0.147169,0.0000,0.0000
five-cycle,cpu,8388608,5,0.0625,524288,25675678.06,12888292.99,0.001377,0.0000,0.0000
five-cycle,cpu,8388608,5,0.1250,1048576,28707543.19,17766592.63,0.021728,0.0000,0.0000
five-cycle,cpu,8388608,5,0.2500,2097152,25944614.92,16853962.20,0.184542,0.0000,0.0000
five-cycle,cpu,8388608,7,0.0625,524288,20151129.63,13474290.89,0.000639,0.0000,0.0000
five-cycle,cpu,8388608,7,0.1250,1048576,20172990.72,12668038.38,0.022809,0.0000,0.0000
five-cycle,cpu,8388608,7,0.2500,2097152,21673340.25,13084102.47,0.262902,0.0000,0.0000
five-cycle,cpu,67108864,3,0.0625,4194304,15887143.79,9737259.56,0.004987,0.0000,0.0000
five-cycle,cpu,67108864,3,0.1250,8388608,15976336.35,9526565.76,0.030620,0.0000,0.0000
five-cycle,cpu,67108864,3,0.2500,16777216,15947857.02,9204607.69,0.146754,0.0000,0.0000
five-cycle,cpu,67108864,5,0.0625,4194304,9785371.25,6613163.02,0.001410,0.0000,0.0000
five-cycle,cpu,67108864,5,0.1250,8388608,9736156.20,6667014.81,0.021757,0.0000,0.0000
five-cycle,cpu,67108864,5,0.2500,16777216,9529793.44,6680698.00,0.185006,0.0000,0.0000
five-cycle,cpu,67108864,7,0.0625,4194304,6975386.97,5006429.84,0.000707,0.0000,0.0000
five-cycle,cpu,67108864,7,0.1250,8388608,6837369.05,4941730.26,0.022968,0.0000,0.0000
five-cycle,cpu,67108864,7,0.2500,16777216,7021146.71,4957795.93,0.263017,0.0000,0.0000
multiplicative,pim-v2,1048576,3,0.0625,65536,4770070601.94,6871762608.79,0.007477,0.0564,0.0238
multiplicative,pim-v2,1048576,3,0.1250,131072,9540141203.87,13743525217.57,0.035995,0.0564,0.0238
multiplicative,pim-v2,1048576,3,0.2500,262144,19080282407.74,27487050435.15,0.158165,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.0625,65536,4770070601.94,6871762608.79,0.001953,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.1250,131072,9540141203.87,13743525217.57,0.025269,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.2500,262144,19080282407.74,27487050435.15,0.192093,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.0625,65536,4770070601.94,6871762608.79,0.000961,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.1250,131072,9540141203.87,13743525217.57,0.025818,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.2500,262144,19080282407.74,27487050435.15,0.267872,0.0564,0.0238
multiplicative,pim-v2,8388608,3,0.0625,524288,4769810222.17,6871942747.79,0.007355,0.4515,0.1904
multiplicative,pim-v2,8388608,3,0.1250,1048576,9539620444.33,13743885495.58,0.036747,0.4515,0.1904
multiplicative,pim-v2,8388608,3,0.2500,2097152,19079240888.66,27487770991.17,0.156799,0.4515,0.1904
multiplicative,pim-v2,8388608,5,0.0625,524288,4769810222.17,6871942747.79,0.002062,0.4515,0.1904
multiplicative,pim-v2,8388608,5,0.1250,1048576,9539620444.33,13743885495.58,0.024566,0.4515,0.1904
multiplicative,pim-v2,8388608,5,0.2500,2097152,19079240888.66,27488131283.34,0.190623,0.4515,0.1904
multiplicative,pim-v2,8388608,7,0.0625,524288,4769810222.17,6871942747.79,0.000975,0.4515,0.1904
multiplicative,pim-v2,8388608,7,0.1250,1048576,9539620444.33,13743885495.58,0.025012,0.4515,0.1904
multiplicative,pim-v2,8388608,7,0.2500,2097152,19079240888.66,27487770991.17,0.266529,0.4515,0.1904
multiplicative,pim-v2,67108864,3,0.0625,4194304,4769810222.17,6871954006.79,0.007485,3.6122,1.5234
multiplicative,pim-v2,67108864,3,0.1250,8388608,9539631292.91,13743885495.58,0.036929,3.6122,1.5234
multiplicative,pim-v2,67108864,3,0.2500,16777216,19079262585.82,27487770991.17,0.157140,3.6122,1.5234
multiplicative,pim-v2,67108864,5,0.0625,4194304,4769810222.17,6871954006.79,0.002112,3.6122,1.5234
multiplicative,pim-v2,67108864,5,0.1250,8388608,9539620444.33,13743908013.59,0.024888,3.6122,1.5234
multiplicative,pim-v2,67108864,5,0.2500,16777216,19079262585.82,27487770991.17,0.190808,3.6122,1.5234
multiplicative,pim-v2,67108864,7,0.0625,4194304,4769815646.45,6871942747.79,0.001029,3.6122,1.5234
multiplicative,pim-v2,67108864,7,0.1250,8388608,9539620444.33,13743908013.59,0.025068,3.6122,1.5234
multiplicative,pim-v2,67108864,7,0.2500,16777216,19079240888.66,27487816027.17,0.266425,3.6122,1.5234
multiplicative,pim-v3,1048576,3,0.0625,65536,1583989945.38,1763094885.80,0.007477,0.1720,0.1394
multiplicative,pim-v3,1048576,3,0.1250,131072,1903622157.03,2027377766.78,0.035995,0.2866,0.2540
multiplicative,pim-v3,1048576,3,0.2500,262144,2117257477.00,2191674539.54,0.158165,0.5159,0.4832
multiplicative,pim-v3,1048576,5,0.0625,65536,1157491301.51,1250305250.31,0.001953,0.2412,0.2085
multiplicative,pim-v3,1048576,5,0.1250,131072,1320771067.83,1379182625.53,0.025269,0.4242,0.3916
multiplicative,pim-v3,1048576,5,0.2500,262144,1420988725.07,1454125895.85,0.192093,0.7904,0.7578
multiplicative,pim-v3,1048576,7,0.0625,65536,911970165.04,968607744.61,0.000961,0.3103,0.2777
multiplicative,pim-v3,1048576,7,0.1250,131072,1011178571.70,1045056250.55,0.025818,0.5618,0.5292
multiplicative,pim-v3,1048576,7,0.2500,262144,1069338271.89,1087991765.69,0.267872,1.0649,1.0323
multiplicative,pim-v3,8388608,3,0.0625,524288,1589189746.26,1769539463.69,0.007355,1.3694,1.1083
multiplicative,pim-v3,8388608,3,0.1250,1048576,1907389621.35,2031647617.52,0.036747,2.2862,2.0251
multiplicative,pim-v3,8388608,3,0.2500,2097152,2119585695.00,2194148733.04,0.156799,4.1199,3.8588
multiplicative,pim-v3,8388608,5,0.0625,524288,1162142931.56,1255734524.51,0.002062,1.9178,1.6567
multiplicative,pim-v3,8388608,5,0.1250,1048576,1323792450.45,1382475671.64,0.024566,3.3824,3.1213
multiplicative,pim-v3,8388608,5,0.2500,2097152,1422738420.31,1455951124.69,0.190623,6.3116,6.0505
multiplicative,pim-v3,8388608,7,0.0625,524288,915998099.13,973167218.57,0.000975,2.4662,2.2051
multiplicative,pim-v3,8388608,7,0.1250,1048576,1013649686.41,1047705356.85,0.025012,4.4785,4.2174
multiplicative,pim-v3,8388608,7,0.2500,2097152,1070723377.71,1089425648.84,0.266529,8.5033,8.2422
