hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
murmur3,pim-v3,8388608,5,0.2500,2097152,19079240888.66,27487770991.16,0.185433,0.4515,0.1904
murmur3,pim-v3,8388608,7,0.0625,524288,4769810222.17,6871942747.79,0.000982,0.4515,0.1904
murmur3,pim-v3,8388608,7,0.1250,1048576,9539620444.33,13743885495.58,0.023427,0.4515,0.1904
murmur3,pim-v3,8388608,7,0.2500,2097152,19079240888.66,27487770991.16,0.263697,0.4515,0.1904
murmur3,pim-v3,67108864,3,0.0625,4194304,4769810222.17,6871942747.79,0.006189,3.6122,1.5234
murmur3,pim-v3,67108864,3,0.1250,8388608,9539631292.91,13743885495.58,0.032664,3.6122,1.5234
murmur3,pim-v3,67108864,3,0.2500,16777216,19079262585.82,27487770991.17,0.149699,3.6122,1.5234
murmur3,pim-v3,67108864,5,0.0625,4194304,4769810222.17,6871954006.79,0.003008,3.6122,1.5234
murmur3,pim-v3,67108864,5,0.1250,8388608,9539620444.33,13743885495.58,0.025227,3.6122,1.5234
murmur3,pim-v3,67108864,5,0.2500,16777216,19079262585.82,27487770991.16,0.189449,3.6122,1.5234
murmur3,pim-v3,67108864,7,0.0625,4194304,4769815646.45,6871942747.79,0.002677,3.6122,1.5234
murmur3,pim-v3,67108864,7,0.1250,8388608,9539620444.33,13743908013.58,0.027904,3.6122,1.5234
murmur3,pim-v3,67108864,7,0.2500,16777216,19079240888.66,27487770991.17,0.268098,3.6122,1.5234
xor-shift,pim-v2,1048576,3,0.0625,65536,4769723435.22,6872483221.50,0.069992,0.0564,0.0238
xor-shift,pim-v2,1048576,3,0.1250,131072,9539446870.47,13744966442.92,0.150826,0.0564,0.0238
xor-shift,pim-v2,1048576,3,0.2500,262144,19078893740.87,27489932886.00,0.317509,0.0564,0.0238
xor-shift,pim-v2,1048576,5,0.0625,65536,4770070601.93,6871762608.81,0.066223,0.0564,0.0238
xor-shift,pim-v2,1048576,5,0.1250,131072,9540141203.89,13743525217.54,0.147850,0.0564,0.0238
xor-shift,pim-v2,1048576,5,0.2500,262144,19080282407.71,27487050435.24,0.355667,0.0564,0.0238
