source,variant,hash_scheme,m,k,n,num_query,empirical_fpr,theoretical_fpr,no_false_negatives,insert_ms,query_ms,insert_energy_mj,query_energy_mj,insert_eps,query_eps
bloom-cpp,pim-v3,xor-shift,8192,3,4000,4000,0.612750,0.454554,PASS,0.0056,0.0054,0.0380,0.0369,716460684.22,738961758.73
bloom-cpp,pim-v4,xor-shift,8192,3,4000,4000,0.612750,0.454554,PASS,0.0043,0.0042,0.0349,0.0338,920598388.95,958313368.47
bloom-cpp,cpu,h3,8192,3,4000,4000,0.476500,0.454554,PASS,0.0659,0.0673,0.0000,0.0000,60730281.64,59446847.09
bloom-cpp,pim-v2,h3,8192,3,4000,4000,0.476500,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.24,53333333333.34
bloom-cpp,pim-v3,h3,8192,3,4000,4000,0.476500,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.24,53333333333.34
bloom-cpp,pim-v4,h3,8192,3,4000,4000,0.476500,0.454554,PASS,0.0002,0.0000,0.0011,0.0000,23391812865.50,0.00
bloom-cpp,cpu,five-cycle,8192,3,4000,4000,0.449250,0.454554,PASS,0.0300,0.0408,0.0000,0.0000,133160225.04,97991180.79
bloom-cpp,pim-v2,five-cycle,8192,3,4000,4000,0.449250,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.24,53333333333.34
bloom-cpp,pim-v3,five-cycle,8192,3,4000,4000,0.449250,0.454554,PASS,0.0057,0.0055,0.0383,0.0372,703977472.72,725689404.93
bloom-cpp,pim-v4,five-cycle,8192,3,4000,4000,0.449250,0.454554,PASS,0.0044,0.0043,0.0352,0.0341,900090009.00,936110461.03
